Repetition,Jee2,Jie2,Jei2,Jii2,Jee,Jii,Jei,Jme,Jmi
22,0.0,48.97435813779117,62.27037213322068,0.0,6.52467168673503,55.4280105767528,250.0,180.0109704493674,326.6754214932342
23,0.0,55.87812502246362,61.6370430737207,0.0,6.554606930699041,56.207579626990785,250.0,203.1269320881665,307.24590629668035
24,0.0,55.86160543069831,62.666115390942934,0.0,7.040935805868629,59.58254144990629,250.0,180.8203375900144,301.04195744026254
25,0.0,54.456503278673935,71.4269340663838,0.0,7.072937387142119,55.10507242415626,250.0,200.2404974449007,324.88304361048057
26,0.0,46.99163391433614,64.34581880174021,0.0,6.928066806222691,60.336681300998166,250.0,178.2294040214985,310.60652895518365
27,0.0,55.12356372776183,70.71379730204083,0.0,6.427449451765442,58.01315458420385,250.0,193.84116325162452,302.9103883943551
28,0.0,50.13596831977819,64.70025010732722,0.0,7.0683935548789805,49.71528147857493,250.0,190.7189237626308,316.6568603698156
29,0.0,51.82277993086919,64.04986105184649,0.0,5.944028571921672,50.84841639348384,250.0,209.09998254643196,320.7641755157767
30,0.0,55.00370807367376,71.93388565858464,0.0,7.129021530701544,51.729870019108574,250.0,203.53727648070745,309.37274573965396
31,0.0,48.01552582045744,70.89497520412367,0.0,7.043942334381865,57.00125791827614,250.0,206.05066094965665,357.80620651939256
32,0.0,48.990696546227696,65.37365407936905,0.0,6.81985520369599,55.25792719704097,250.0,186.50439521956616,309.8809637484549
33,0.0,57.063889668263094,66.90843453286914,0.0,6.678743567072649,58.901943220394,250.0,183.27156124843253,354.6223265254259
34,0.0,54.181246159905136,66.12588373483365,0.0,6.692044862753532,58.68709771215877,250.0,186.65120506216243,340.66995297383124
35,0.0,47.2525601571045,63.96262494080202,0.0,6.291009679448061,54.12950347666719,250.0,179.76298278325422,325.1363381093833
36,0.0,57.132408483621795,59.51436815992893,0.0,6.580929633801787,51.61104103571988,250.0,193.1221993813491,340.15680831781737
37,0.0,52.68599897673086,64.73374955158188,0.0,6.461915710926663,56.28039450193152,250.0,177.65609435936523,346.4264574776986
38,0.0,52.44191946403244,67.55635690887246,0.0,6.616713868577336,55.99188522290845,250.0,212.96341633164917,346.00017876280384
39,0.0,48.93694114815928,66.56519387089477,0.0,6.608245550560799,56.640479876320704,250.0,214.31618421363808,355.9879285017086
40,0.0,56.88502885236336,66.36797871836637,0.0,5.97641154960988,53.97683029191492,250.0,200.09240076562983,322.31170758868114
41,0.0,48.477602488312584,61.06843539456909,0.0,6.931855146707619,52.25817881295122,250.0,192.870651523663,303.8097189968923
42,0.0,54.62298320324796,68.86339185875714,0.0,7.123928122482621,53.27864413027832,250.0,195.79025039169133,321.445662966523
43,0.0,51.70767024357262,62.237494068643585,0.0,6.577980903708827,53.88323667161878,250.0,188.78876165963615,346.4240230251638
44,0.0,49.86668614592748,72.22111142143712,0.0,6.498963244876683,55.03349838973065,250.0,191.26310236403813,358.9867107680189
45,0.0,51.73060623417125,68.73641676298321,0.0,6.8365587505126735,55.40146676676168,250.0,179.64655040293854,332.7021541632472
46,0.0,51.803175145373814,70.96727964027481,0.0,6.850023658889951,53.97083243676132,250.0,211.7577803405303,359.6442134983556
47,0.0,52.549270816570505,71.32697915182992,0.0,6.729630606688824,58.43665458610491,250.0,176.8630281827264,320.4396448339849
48,0.0,53.72802837254825,71.58778389250666,0.0,6.022112994023533,55.6809459190861,250.0,211.89250910342227,308.31347603068605
49,0.0,50.64004715071336,70.25917180143017,0.0,6.907029552402237,57.6230203621214,250.0,194.135621743245,298.1546426171688
